Judul|Pengarang|Favorit
LOOKISM|Taejoon Park|51800000
Girl's World|morangg|23800000
How to Fight|Taejoon Park / Kim Junghyun|12400000
Mistake|KEVEEEN / Cindy Chwa|14100000
QUESTISM|PTJ cartoon company Academy|2600000
GOOD/BAD FORTUNE|Ariel Duyung|9500000
Grup Chat Tanpa Aku|Bongsoo|57666
The Fox Club|HJ.Hwang|1500000
Sisters at War|KMK|100000
Doll & I|CHAEYUN SONG / ENRY|1400000
Reborn Rich|JP / BG|764750
Out of the Blue|Fluffy Sunkist|129734
Wind Breaker|Yongseok Jo|5700000
The Editors|LINE WEBTOON|911593
Men of the Harem|Alphatart / HereLee|4200000
Unseen Beauty|Benvenutoiven / Get up production|696175
Seven Years Later|Tirapuw|3100000
Top Corner|Yoon-Sung / LaGoon|2100000
Arum Daun|Shinshinhye|1400000
Money and the Power|Dongwoo Han / Dohee Lee|7400000
Change Me|JIHO LEE / HOTTI|100000
Moon Flower|ifuaira00|1600000
A Chance at Last|Dindon / Seo hye eun|714658
Momfluencer|maemi / Hee Se|591018
Left Hand|callistahermin|2100000
Love is a Promise|Ai_naBecce / 12pulang Studio|848755
Two Faced Princess|Ryu Juyeon / TORI|810746
When We Were Fifteen|Hanin Naqib|208750
The Man|Ha Neulso / Dogado|100000
DARK MOON: THE GREY CITY|HYBE|167629
30 Minute Walk|ondo|1100000
An Alternate Life|Carlos / Jink|542550
Double Click|Kim Janghun / Park Subong|621616
Godly Idol|White Bear / RENA|499173
Attention Seeker|Woong|310620
The Build Up|911|122800
Crimson Heart|HYBE|163644
Gemini Duos|Hamstavin|320658
My Sole Muse|Matchseia|86221
The Great Inheritance|0510 / EUNSU|173689
Suhee0|Birthdaymood|454858
Unlock The Boss (Unlock My Boss)|Sanghyun Park|100627
DENOUNCE|YoonYe|298653
Dazzle|Littorium_|61110
The Secret of Angel (True Beauty)|yaongyi|44700000
Clueless Girl|Seokwoo|3100000
LOSER LIFE|Taejoon Park / Sunwook jeon|2900000
Mystique|VAN JI|7600000
Dateclip|Bongsoo|199410
Day by Bae|HAAI|1600000
Who's Mr. President?|S.M.S / KING Productions|5600000
BLUE|kennsaty|2500000
Duty after School|Ilkwon Ha|179164
The Girl 180|nowone / della|4500000
Your Letter|HYEON A CHO|596666
The Wife|JYUN / Mana|2100000
SAVE ME|Big Hit Ent. / LICO|200000
To Love Your Enemy|Jungyoon / Taegeon|3700000
Trauma Center|Hansanleega / hong bichira|6600000
We Are Pharmacists|Qoni|8300000
Me Vs Big Slacker Baby|Re:ON Comics / Annisa Nisfihani|818213
Moon You|Cho Seok|86466
Dandelion Repose|yunakatzen|1500000
Young Mom|theterm|14600000
Friendly Rivalry|CHAE-YUN SONG / JAE-YEONG SIM|1400000
The Nuna at Our Office|WasakBasak / JANE|263759
Ending Again|TARI|220925
Knitting Room|SOYOUNG|100000
Summer Breeze|kyoungchal han|913235
Trickster|Mas Hiro / k a i r n n|3200000
Only You can See|sosoman|1700000
Loser Coin|PTJ cartoon company Academy|428427
House Daddy|HAAI|2300000
The Lost Harmony|Black chiz cake / Kobebeef|7400000
MAMAMAAF|MiTi / GuGu|4500000
Baby Steps|k a i r n n|1200000
HER SECRET!|KMK|5400000
10 Cara Merawat Naga|Lee Donghee / Pandapenguin|200000
304th Study Room|Felicia Huang|900000
Tomorrow|Llama|122529
Blooming|Rifahart|823304
Ayam Goreng|PJD|621360
Gadis Pembohong|Febs / Lulu Zet|406554
Ghost's Dilemma|kikuatama|4200000
